,id,title,abstract,judgement,tiab,2023-08-08_16-29Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-29Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-31Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-31Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-33Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-33Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-35Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-35Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-37Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-37Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-39Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-39Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-41Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-41Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-43Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-43Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-45Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-45Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-08_16-46Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-08_16-46Azure_zeroshot_gpt-35-turbo-0613_temp0
0,40962,Thermal treatment of nasopharyngeal samples before cobas SARS-CoV-2 testing,,1,Thermal treatment of nasopharyngeal samples before cobas SARS-CoV-2 testing,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'False', 'index': 0}",0,"{'judgement': 'True', 'index': 0}",1,"{'judgement': '', 'probability': '', 'index': 0}",,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'False', 'index': 0}",0
1,2061,Performance of a qualitative rapid chromatographic immunoassay to diagnose COVID-19 in patients in a middle-income country,"OBJECTIVES: We evaluated a rapid chromatographic immunoassay (IgG/IgM antibodies) and an ELISA assay to diagnose COVID-19 in patient sat two Brazilian hospitals. METHODS: A total of 122 subjects with COVID-19 were included: 106 SARS-COV-2 RT-PCR-positive patients and 16 RT-PCR-negative patients with symptoms and chest computed tomography (CT) consistent with COVID-19. Ninety-six historical blood donation samples were used as controls. Demographic and clinical characteristics were retrieved from electronic records. Sensitivity and specificity were calculated, as were their 95% binomial confidence intervals using the Clopper-Pearson method. All analyses were performed in R version 3.6.3. RESULTS: The sensitivity of the chromatographic immunoassay in all RT-PCR-positive patients, irrespective of the timing of symptom onset, was 85.8% (95% binomial CI 77.7% to 91.9%). This increased with time after symptom onset, and at >14 days was 94.9% (85.9% to 98.9%). The specificity was 100% (96.4% to 100%). 15/16 (94%) RT- PCR-negative cases tested positive. The most frequent comorbidities were hypertension and diabetes mellitus and the most frequent symptoms were fever, cough, and dyspnea. All RT-PCR-negative patients had pneumonia. The most frequent thoracic CT findings were ground glass changes (n=11, 68%), which were bilateral in 9 (56%) patients, and diffuse reticulonodular infiltrates (n=5, 31%). CONCLUSIONS: The COVID-19 rapid chromatographic immunoassay evaluated in this study had a high sensitivity and specificity using plasma, particularly after 14 days from symptom onset. ELISA and qualitative rapid chromatographic immunoassays can be used for the diagnosis of RT-PCR-negative patients. Copyright Â© 2020 Elsevier B.V. All rights reserved.",1,"Performance of a qualitative rapid chromatographic immunoassay to diagnose COVID-19 in patients in a middle-income countryOBJECTIVES: We evaluated a rapid chromatographic immunoassay (IgG/IgM antibodies) and an ELISA assay to diagnose COVID-19 in patient sat two Brazilian hospitals. METHODS: A total of 122 subjects with COVID-19 were included: 106 SARS-COV-2 RT-PCR-positive patients and 16 RT-PCR-negative patients with symptoms and chest computed tomography (CT) consistent with COVID-19. Ninety-six historical blood donation samples were used as controls. Demographic and clinical characteristics were retrieved from electronic records. Sensitivity and specificity were calculated, as were their 95% binomial confidence intervals using the Clopper-Pearson method. All analyses were performed in R version 3.6.3. RESULTS: The sensitivity of the chromatographic immunoassay in all RT-PCR-positive patients, irrespective of the timing of symptom onset, was 85.8% (95% binomial CI 77.7% to 91.9%). This increased with time after symptom onset, and at >14 days was 94.9% (85.9% to 98.9%). The specificity was 100% (96.4% to 100%). 15/16 (94%) RT- PCR-negative cases tested positive. The most frequent comorbidities were hypertension and diabetes mellitus and the most frequent symptoms were fever, cough, and dyspnea. All RT-PCR-negative patients had pneumonia. The most frequent thoracic CT findings were ground glass changes (n=11, 68%), which were bilateral in 9 (56%) patients, and diffuse reticulonodular infiltrates (n=5, 31%). CONCLUSIONS: The COVID-19 rapid chromatographic immunoassay evaluated in this study had a high sensitivity and specificity using plasma, particularly after 14 days from symptom onset. ELISA and qualitative rapid chromatographic immunoassays can be used for the diagnosis of RT-PCR-negative patients. Copyright Â© 2020 Elsevier B.V. All rights reserved.","{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1
2,53145,Brain tissue damage in dementia with Lewy bodies: an in vivo diffusion tensor MRI study.,The aim of the present study was to apply diffusion tensor MRI (DT-MRI)  a quantitative MRI measure which reflects tissue organization  to dementia with Lewy bodies (DLB). DT-MRI scans were obtained from 15 patients with probable DLB and 10 sex- and age-matched healthy controls. Abnormalities were found in the corpus callosum  pericallosal areas and the frontal  parietal  occipital and  less prominently  temporal white matter of patients compared with controls. Abnormalities were also found in the caudate nucleus and the putamen. The average grey matter volume was lower in patients than in controls. These findings of concomitant grey matter atrophy and white matter abnormalities (as detected by DT-MRI) in regions with a high prevalence of long connecting fibre tracts might suggest the presence of neurodegeneration involving associative cortices. The modest involvement of the temporal lobe fits with the relative preservation of global neuropsychological measures and memory tasks in the early stage of DLB. The selective involvement of parietal  frontal and occipital lobes might explain some of the clinical and neuropsychological features of DLB  providing a possible distinctive marker for this disease. The abnormalities found in the subcortical grey matter may indicate that DLB and Parkinson's disease share a similar nigrostriatal involvement caused by common pathophysiological mechanisms.,1,Brain tissue damage in dementia with Lewy bodies: an in vivo diffusion tensor MRI study.The aim of the present study was to apply diffusion tensor MRI (DT-MRI)  a quantitative MRI measure which reflects tissue organization  to dementia with Lewy bodies (DLB). DT-MRI scans were obtained from 15 patients with probable DLB and 10 sex- and age-matched healthy controls. Abnormalities were found in the corpus callosum  pericallosal areas and the frontal  parietal  occipital and  less prominently  temporal white matter of patients compared with controls. Abnormalities were also found in the caudate nucleus and the putamen. The average grey matter volume was lower in patients than in controls. These findings of concomitant grey matter atrophy and white matter abnormalities (as detected by DT-MRI) in regions with a high prevalence of long connecting fibre tracts might suggest the presence of neurodegeneration involving associative cortices. The modest involvement of the temporal lobe fits with the relative preservation of global neuropsychological measures and memory tasks in the early stage of DLB. The selective involvement of parietal  frontal and occipital lobes might explain some of the clinical and neuropsychological features of DLB  providing a possible distinctive marker for this disease. The abnormalities found in the subcortical grey matter may indicate that DLB and Parkinson's disease share a similar nigrostriatal involvement caused by common pathophysiological mechanisms.,"{'judgement': 'True', 'index': 2}",1,"{'judgement': 'True', 'probability': '0.8', 'index': 2}",1,"{'judgement': 'False', 'index': 2}",0,"{'judgement': 'True', 'index': 2}",1,"{'judgement': 'True', 'index': 2}",1,"{'judgement': 'True', 'index': 2}",1,"{'judgement': 'False', 'index': 2}",0,"{'judgement': 'True', 'index': 2}",1,"{'judgement': 'False', 'index': 2}",0,"{'judgement': 'True', 'index': 2}",1
3,56716,Clinical and neuropathological correlates of apolipoprotein E genotype in dementia with Lewy bodies,,1,Clinical and neuropathological correlates of apolipoprotein E genotype in dementia with Lewy bodies,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1
4,20581,Pattern of brain atrophy rates in autopsy-confirmed dementia with Lewy bodies.,Dementia with Lewy bodies (DLB) is characterized by preserved whole brain and medial temporal lobe volumes compared with Alzheimer's disease dementia (AD) on magnetic resonance imaging. However  frequently coexistent AD-type pathology may influence the pattern of regional brain atrophy rates in DLB patients. We investigated the pattern and magnitude of the atrophy rates from 2 serial MRIs in autopsy-confirmed DLB patients (n = 20) and mixed DLB/AD patients (n = 22)  compared with AD (n = 30) and elderly nondemented control subjects (n = 15)  followed antemortem. DLB patients without significant AD-type pathology were characterized by lower global and regional rates of atrophy  similar to control subjects. The mixed DLB/AD patients displayed greater atrophy rates in the whole brain  temporoparietal cortices  hippocampus and amygdala  and ventricle expansion  similar to AD patients. In the DLB and DLB/AD patients  the atrophy rates correlated with Braak neurofibrillary tangle stage  cognitive decline  and progression of motor symptoms. Global and regional atrophy rates are associated with AD-type pathology in DLB  and these rates can be used as biomarkers of AD progression in patients with LB pathology.,1,Pattern of brain atrophy rates in autopsy-confirmed dementia with Lewy bodies.Dementia with Lewy bodies (DLB) is characterized by preserved whole brain and medial temporal lobe volumes compared with Alzheimer's disease dementia (AD) on magnetic resonance imaging. However  frequently coexistent AD-type pathology may influence the pattern of regional brain atrophy rates in DLB patients. We investigated the pattern and magnitude of the atrophy rates from 2 serial MRIs in autopsy-confirmed DLB patients (n = 20) and mixed DLB/AD patients (n = 22)  compared with AD (n = 30) and elderly nondemented control subjects (n = 15)  followed antemortem. DLB patients without significant AD-type pathology were characterized by lower global and regional rates of atrophy  similar to control subjects. The mixed DLB/AD patients displayed greater atrophy rates in the whole brain  temporoparietal cortices  hippocampus and amygdala  and ventricle expansion  similar to AD patients. In the DLB and DLB/AD patients  the atrophy rates correlated with Braak neurofibrillary tangle stage  cognitive decline  and progression of motor symptoms. Global and regional atrophy rates are associated with AD-type pathology in DLB  and these rates can be used as biomarkers of AD progression in patients with LB pathology.,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'False', 'index': 4}",0,"{'judgement': 'False', 'index': 4}",0,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'False', 'index': 4}",0,"{'judgement': 'True', 'index': 4}",1
5,67751,A new method for diagnosing fever of unknown origin (FUO) due to infection of muscular-skeletal system in elderly people: leukoscan Tc-99m labelled scintigraphy,Twenty patients affected by fever of unknown origin (FUO)  due to a likely infection of the muscular or skeletal tissues  were studied by a Total Body scan with a monoclonal antibody fragment (Leukoscan) labelled with Tc-99m. The diagnostic procedure helped reach a final diagnosis in 8 out of the 20 patients because it identified the focus of the infection of the muscles or bones in joint proximity. Our data show that Leukoscan deserves to become a first line diagnostic procedure in the diagnostic algorithm for the evaluation of patients with FUO.,1,A new method for diagnosing fever of unknown origin (FUO) due to infection of muscular-skeletal system in elderly people: leukoscan Tc-99m labelled scintigraphyTwenty patients affected by fever of unknown origin (FUO)  due to a likely infection of the muscular or skeletal tissues  were studied by a Total Body scan with a monoclonal antibody fragment (Leukoscan) labelled with Tc-99m. The diagnostic procedure helped reach a final diagnosis in 8 out of the 20 patients because it identified the focus of the infection of the muscles or bones in joint proximity. Our data show that Leukoscan deserves to become a first line diagnostic procedure in the diagnostic algorithm for the evaluation of patients with FUO.,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1
6,27913,Immunoglobulin and antibody levels in bronchoalveolar lavage fluid from symptomatic and asymptomatic pigeon breeders.,,1,Immunoglobulin and antibody levels in bronchoalveolar lavage fluid from symptomatic and asymptomatic pigeon breeders.,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'False', 'index': 6}",0,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'False', 'index': 6}",0
7,49833,Prospective study comparing deep-throat saliva with other respiratory tract specimens in the diagnosis of novel coronavirus disease (COVID-19),"BACKGROUND: Self-collected specimens has been advocated to avoid infectious exposure to healthcare workers. Self-induced sputum in those with a productive cough, and saliva in those without a productive cough have been proposed, but sensitivity remains uncertain. METHODS: We performed a prospective study in two regional hospitals in Hong Kong. RESULTS: We prospectively examined 563 serial samples collected during the virus shedding periods of 50 patients: 150 deep-throat saliva (DTS), 309 pooled-nasopharyngeal (NP) and throat swabs, and 104 sputum. DTS had the lowest overall RT-PCR positive rate (68.7% vs. 89.4% [sputum] and 80.9% [pooled NP and throat swabs]), and the lowest viral RNA concentration (mean log copy/mL 3.54 vs. 5.03 [sputum] and 4.63 [pooled NP and throat swabs]). Analyses with respect to time from symptom onset and severity also revealed similar results. Virus yield of DTS correlated with that of sputum (Pearson correlation index [95% CI]: 0.76 [0.62 - 0.86]). We estimated the overall false-negative rate of DTS could be 31.3%, and increased 2.7 times among patients without sputum. CONCLUSION: DTS produced the lowest viral RNA concentration and RT-PCR positive rate compared to conventional respiratory specimens in all phases of illness. Self-collect sputum should be the choice for patients with sputum. Copyright Â© The Author(s) 2020. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.",1,"Prospective study comparing deep-throat saliva with other respiratory tract specimens in the diagnosis of novel coronavirus disease (COVID-19)BACKGROUND: Self-collected specimens has been advocated to avoid infectious exposure to healthcare workers. Self-induced sputum in those with a productive cough, and saliva in those without a productive cough have been proposed, but sensitivity remains uncertain. METHODS: We performed a prospective study in two regional hospitals in Hong Kong. RESULTS: We prospectively examined 563 serial samples collected during the virus shedding periods of 50 patients: 150 deep-throat saliva (DTS), 309 pooled-nasopharyngeal (NP) and throat swabs, and 104 sputum. DTS had the lowest overall RT-PCR positive rate (68.7% vs. 89.4% [sputum] and 80.9% [pooled NP and throat swabs]), and the lowest viral RNA concentration (mean log copy/mL 3.54 vs. 5.03 [sputum] and 4.63 [pooled NP and throat swabs]). Analyses with respect to time from symptom onset and severity also revealed similar results. Virus yield of DTS correlated with that of sputum (Pearson correlation index [95% CI]: 0.76 [0.62 - 0.86]). We estimated the overall false-negative rate of DTS could be 31.3%, and increased 2.7 times among patients without sputum. CONCLUSION: DTS produced the lowest viral RNA concentration and RT-PCR positive rate compared to conventional respiratory specimens in all phases of illness. Self-collect sputum should be the choice for patients with sputum. Copyright Â© The Author(s) 2020. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.","{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'probability': '0.8', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1
8,19262,COVID-19 detection in CT images with deep learning: A voting-based scheme and cross-datasets analysis,"Early detection and diagnosis are critical factors to control the COVID-19 spreading. A number of deep learning-based methodologies have been recently proposed for COVID-19 screening in CT scans as a tool to automate and help with the diagnosis. These approaches, however, suffer from at least one of the following problems: (i) they treat each CT scan slice independently and (ii) the methods are trained and tested with sets of images from the same dataset. Treating the slices independently means that the same patient may appear in the training and test sets at the same time which may produce misleading results. It also raises the question of whether the scans from the same patient should be evaluated as a group or not. Moreover, using a single dataset raises concerns about the generalization of the methods. Different datasets tend to present images of varying quality which may come from different types of CT machines reflecting the conditions of the countries and cities from where they come from. In order to address these two problems, in this work, we propose an Efficient Deep Learning Technique for the screening of COVID-19 with a voting-based approach. In this approach, the images from a given patient are classified as group in a voting system. The approach is tested in the two biggest datasets of COVID-19 CT analysis with a patient-based split. A cross dataset study is also presented to assess the robustness of the models in a more realistic scenario in which data comes from different distributions. The cross-dataset analysis has shown that the generalization power of deep learning models is far from acceptable for the task since accuracy drops from 87.68% to 56.16% on the best evaluation scenario. These results highlighted that the methods that aim at COVID-19 detection in CT-images have to improve significantly to be considered as a clinical option and larger and more diverse datasets are needed to evaluate the methods in a realistic scenario. Copyright Â© 2020 The Author(s).",1,"COVID-19 detection in CT images with deep learning: A voting-based scheme and cross-datasets analysisEarly detection and diagnosis are critical factors to control the COVID-19 spreading. A number of deep learning-based methodologies have been recently proposed for COVID-19 screening in CT scans as a tool to automate and help with the diagnosis. These approaches, however, suffer from at least one of the following problems: (i) they treat each CT scan slice independently and (ii) the methods are trained and tested with sets of images from the same dataset. Treating the slices independently means that the same patient may appear in the training and test sets at the same time which may produce misleading results. It also raises the question of whether the scans from the same patient should be evaluated as a group or not. Moreover, using a single dataset raises concerns about the generalization of the methods. Different datasets tend to present images of varying quality which may come from different types of CT machines reflecting the conditions of the countries and cities from where they come from. In order to address these two problems, in this work, we propose an Efficient Deep Learning Technique for the screening of COVID-19 with a voting-based approach. In this approach, the images from a given patient are classified as group in a voting system. The approach is tested in the two biggest datasets of COVID-19 CT analysis with a patient-based split. A cross dataset study is also presented to assess the robustness of the models in a more realistic scenario in which data comes from different distributions. The cross-dataset analysis has shown that the generalization power of deep learning models is far from acceptable for the task since accuracy drops from 87.68% to 56.16% on the best evaluation scenario. These results highlighted that the methods that aim at COVID-19 detection in CT-images have to improve significantly to be considered as a clinical option and larger and more diverse datasets are needed to evaluate the methods in a realistic scenario. Copyright Â© 2020 The Author(s).","{'judgement': 'True', 'index': 8}",1,"{'judgement': 'False', 'index': 8}",0,"{'judgement': 'False', 'index': 8}",0,"{'judgement': 'True', 'index': 8}",1,"{'judgement': 'True', 'index': 8}",1,"{'judgement': 'True', 'index': 8}",1,"{'judgement': 'True', 'index': 8}",1,"{'judgement': 'True', 'index': 8}",1,"{'judgement': 'True', 'index': 8}",1,"{'judgement': 'True', 'index': 8}",1
9,22943,Specificity and positive predictive value of SARS-CoV-2 nucleic acid amplification testing in a low prevalence setting,"OBJECTIVES: When SARS-CoV-2 prevalence is low, many positive test results are false positives. Confirmatory testing reduces overdiagnosis and nosocomial infection and enables real-world estimates of test specificity and positive predictive value. This study estimates these parameters to evaluate the impact of confirmatory testing, and to improve clinical diagnosis, epidemiological estimation and interpretation of vaccine trials. METHODS: Over one month, we took all respiratory samples from our laboratory with a patient's first detection of SARS-CoV-2 RNA (Hologic Aptima SARS-CoV-2 assay or in-house RT-PCR platform), and repeated testing using two platforms. Samples were categorised by source, and by whether clinical details suggested COVID-19 or corroborative testing from another laboratory. We estimated specificity and positive predictive value using maximum likelihood-based approaches. RESULTS: Of 19,597 samples, SARS-CoV-2 RNA was detected in 107. 52 corresponded to first-time detection (0.27% of tests on samples without previous detection); further testing detected SARS-CoV-2 RNA >=1 time (""confirmed"") in 29 (56%), and failed to detect SARS-CoV-2 RNA (""not confirmed"") in 23 (44%). Depending upon assumed parameters, point estimates for specificity and positive predictive value were 99.91%-99.98% and 61.8%-89.8% respectively using the Hologic Aptima SARS-CoV-2 assay, and 97.4%-99.1% and 20.1%-73.8% respectively using an in-house assay. CONCLUSIONS: Nucleic acid amplification testing for SARS-CoV-2 is highly specific. Nevertheless, when prevalence is low a significant proportion of initially positive results fail to confirm and confirmatory testing substantially reduces false positive detections. Omitting additional testing in samples with higher prior detection probabilities focuses testing where clinically impactful and minimises delay. Copyright Â© 2020. Published by Elsevier Ltd.",1,"Specificity and positive predictive value of SARS-CoV-2 nucleic acid amplification testing in a low prevalence settingOBJECTIVES: When SARS-CoV-2 prevalence is low, many positive test results are false positives. Confirmatory testing reduces overdiagnosis and nosocomial infection and enables real-world estimates of test specificity and positive predictive value. This study estimates these parameters to evaluate the impact of confirmatory testing, and to improve clinical diagnosis, epidemiological estimation and interpretation of vaccine trials. METHODS: Over one month, we took all respiratory samples from our laboratory with a patient's first detection of SARS-CoV-2 RNA (Hologic Aptima SARS-CoV-2 assay or in-house RT-PCR platform), and repeated testing using two platforms. Samples were categorised by source, and by whether clinical details suggested COVID-19 or corroborative testing from another laboratory. We estimated specificity and positive predictive value using maximum likelihood-based approaches. RESULTS: Of 19,597 samples, SARS-CoV-2 RNA was detected in 107. 52 corresponded to first-time detection (0.27% of tests on samples without previous detection); further testing detected SARS-CoV-2 RNA >=1 time (""confirmed"") in 29 (56%), and failed to detect SARS-CoV-2 RNA (""not confirmed"") in 23 (44%). Depending upon assumed parameters, point estimates for specificity and positive predictive value were 99.91%-99.98% and 61.8%-89.8% respectively using the Hologic Aptima SARS-CoV-2 assay, and 97.4%-99.1% and 20.1%-73.8% respectively using an in-house assay. CONCLUSIONS: Nucleic acid amplification testing for SARS-CoV-2 is highly specific. Nevertheless, when prevalence is low a significant proportion of initially positive results fail to confirm and confirmatory testing substantially reduces false positive detections. Omitting additional testing in samples with higher prior detection probabilities focuses testing where clinically impactful and minimises delay. Copyright Â© 2020. Published by Elsevier Ltd.","{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'probability': '0.9', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1
