,id,title,abstract,judgement,tiab,2023-08-09_06-47Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-09_06-47Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-09_06-54Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-09_06-54Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-08-09_07-01Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-08-09_07-01Azure_zeroshot_gpt-35-turbo-0613_temp0
0,27405,Semi-Automated Detection of Cerebral Microbleeds on 3.0 T MR Images.,Cerebral microbleeds are associated with vascular disease and dementia. They can be detected on MRI and receive increasing attention. Visual rating is the current standard for microbleed detection  but is rater dependent  has limited reproducibility  modest sensitivity  and can be time-consuming. The goal of the current study is to present a tool for semi-automated detection of microbleeds that can assist human raters in the rating procedure. The radial symmetry transform is originally a technique to highlight circular-shaped objects in two-dimensional images. In the current study  the three-dimensional radial symmetry transform was adapted to detect spherical microbleeds in a series of 72 patients from our hospital  for whom a ground truth visual rating was made by four raters. Potential microbleeds were automatically identified on T2*-weighted 3.0 T MRI scans and the results were visually checked to identify microbleeds. Final ratings of the radial symmetry transform were compared to human ratings. After implementing and optimizing the radial symmetry transform  the method achieved a high sensitivity  while maintaining a modest number of false positives. Depending on the settings  sensitivities ranged from 65%-84% compared to the ground truth rating. Rating of the processed images required 1-2 minutes per participant  in which 20-96 false positive locations per participant were censored. Sensitivities of individual raters ranged from 39%-86% compared to the ground truth and required 5-10 minutes per participant per rater. The sensitivities that were achieved by the radial symmetry transform are similar to those of individual experienced human raters  demonstrating its feasibility and usefulness for semi-automated microbleed detection.,0,Semi-Automated Detection of Cerebral Microbleeds on 3.0 T MR Images.Cerebral microbleeds are associated with vascular disease and dementia. They can be detected on MRI and receive increasing attention. Visual rating is the current standard for microbleed detection  but is rater dependent  has limited reproducibility  modest sensitivity  and can be time-consuming. The goal of the current study is to present a tool for semi-automated detection of microbleeds that can assist human raters in the rating procedure. The radial symmetry transform is originally a technique to highlight circular-shaped objects in two-dimensional images. In the current study  the three-dimensional radial symmetry transform was adapted to detect spherical microbleeds in a series of 72 patients from our hospital  for whom a ground truth visual rating was made by four raters. Potential microbleeds were automatically identified on T2*-weighted 3.0 T MRI scans and the results were visually checked to identify microbleeds. Final ratings of the radial symmetry transform were compared to human ratings. After implementing and optimizing the radial symmetry transform  the method achieved a high sensitivity  while maintaining a modest number of false positives. Depending on the settings  sensitivities ranged from 65%-84% compared to the ground truth rating. Rating of the processed images required 1-2 minutes per participant  in which 20-96 false positive locations per participant were censored. Sensitivities of individual raters ranged from 39%-86% compared to the ground truth and required 5-10 minutes per participant per rater. The sensitivities that were achieved by the radial symmetry transform are similar to those of individual experienced human raters  demonstrating its feasibility and usefulness for semi-automated microbleed detection.,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'probability': '0.8', 'index': 0}",1
1,45008,"Inhibition of beta-amyloid peptide aggregation and neurotoxicity by alpha-d-mannosylglycerate, a natural extremolyte.",The aggregation of soluble beta-amyloid (Abeta) peptide into oligomers/fibrils is one of the key pathological features in Alzheimer's disease (AD). The use of naturally occurring small molecules for inhibiting protein aggregation has recently attracted many interests due to their effectiveness for treating protein folding diseases such as AD  Parkinson's  Huntington's disease  and other amyloidosis diseases. alpha-d-Mannosylglycerate (MG)  a natural extremolyte identified in microorganisms growing under extremely high temperatures up to 100 degrees C  had been shown to protect proteins against various stress conditions such as heat  freezing  thawing  and drying. Here  we report the effectiveness of MG on the suppression of Alzheimer's Abeta aggregation and neurotoxicity to human neuroblastoma cells. According to our study--carried out by using thioflavin-T induced fluorescence  atomic force microscopy  and cell viability assay--MG had significant inhibitory effect against Abeta amyloid formation and could reduce the toxicity of amyloid aggregates to human neuroblastoma cells while MG itself was innocuous to cells. On the other hand  the structural analogs of MG such as alpha-d-mannosylglyceramide  mannose  methylmannoside  glycerol  showed negligible effect on Abeta aggregate formation. The results suggest that MG could be a potential drug candidate for treating Alzheimer's disease.,0,"Inhibition of beta-amyloid peptide aggregation and neurotoxicity by alpha-d-mannosylglycerate, a natural extremolyte.The aggregation of soluble beta-amyloid (Abeta) peptide into oligomers/fibrils is one of the key pathological features in Alzheimer's disease (AD). The use of naturally occurring small molecules for inhibiting protein aggregation has recently attracted many interests due to their effectiveness for treating protein folding diseases such as AD  Parkinson's  Huntington's disease  and other amyloidosis diseases. alpha-d-Mannosylglycerate (MG)  a natural extremolyte identified in microorganisms growing under extremely high temperatures up to 100 degrees C  had been shown to protect proteins against various stress conditions such as heat  freezing  thawing  and drying. Here  we report the effectiveness of MG on the suppression of Alzheimer's Abeta aggregation and neurotoxicity to human neuroblastoma cells. According to our study--carried out by using thioflavin-T induced fluorescence  atomic force microscopy  and cell viability assay--MG had significant inhibitory effect against Abeta amyloid formation and could reduce the toxicity of amyloid aggregates to human neuroblastoma cells while MG itself was innocuous to cells. On the other hand  the structural analogs of MG such as alpha-d-mannosylglyceramide  mannose  methylmannoside  glycerol  showed negligible effect on Abeta aggregate formation. The results suggest that MG could be a potential drug candidate for treating Alzheimer's disease.","{'judgement': 'False', 'index': 1}",0,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'False', 'index': 1}",0
2,1797,A National Collaborative Multicenter Phase II Study for Potential Safety Efficacy of Convalescent Plasma to Treat Severe COVID-19 Patients,,0,A National Collaborative Multicenter Phase II Study for Potential Safety Efficacy of Convalescent Plasma to Treat Severe COVID-19 Patients,"{'judgement': 'False', 'index': 2}",0,"{'judgement': 'True', 'index': 2}",1,"{'judgement': 'True', 'index': 2}",1
3,15424,Using rapid online surveys to assess perceptions during infectious disease outbreaks: a cross-sectional survey on Covid-19 among the general public in the United States and United Kingdom,"BACKGROUND: Given the extensive time needed to conduct a nationally representative household survey and the commonly low response rate in phone surveys, rapid online surveys may be a promising method to assess and track knowledge and perceptions among the general public during fast-moving infectious disease outbreaks. OBJECTIVE: To apply rapid online surveying to determine knowledge and perceptions of coronavirus disease 2019 (Covid-19) among the general public in the United States (US) and the United Kingdom (UK). METHODS: An online questionnaire was administered to 3,000 adults residing in the US and 3,000 adults residing in the UK who had registered with Prolific Academic to participate in online research. Strata by age (18 - 27, 28 - 37, 38 - 47, 48 - 57, or >=58 years), sex (male or female), and ethnicity (White, Black or African American, Asian or Asian Indian, Mixed, or ""Other""), and all permutations of these strata, were established. The number of participants who could enrol in each of these strata was calculated to reflect the distribution in the US and UK general population. Enrolment into the survey within the strata was on a first-come, first-served basis. Participants completed the questionnaire between February 23 and March 2 2020. RESULTS: 2,986 and 2,988 adults residing in the US and the UK, respectively, completed the questionnaire. 64.4% (1,924/2,986) of US and 51.5% (1,540/2,988) of UK participants had a tertiary education degree. 67.5% (2,015/2,986) of US participants had a total household income between $20,000 and $99,999, and 74.4% (2,223/2,988) of UK participants had a total household income between GBP15,000 and GBP74,999. US and UK participants' median estimate for the probability of a fatal disease course among those infected with SARS-CoV-2 was 5.0% (IQR: 2.0% - 15.0%) and 3.0% (IQR: 2.0% - 10.0%), respectively. Participants generally had good knowledge of the main mode of disease transmission and common symptoms of Covid-19. However, a substantial proportion of participants had misconceptions about how to prevent an infection and the recommended care-seeking behavior. For instance, 37.8% (95% CI: 36.1% - 39.6%) of US and 29.7% (95% CI: 28.1% - 31.4%) of UK participants thought that wearing a common surgical mask was 'highly effective' in protecting them from acquiring Covid-19. 25.6% (95% CI: 24.1% - 27.2%) of US and 29.6% (95% CI: 28.0% - 31.3%) of UK participants thought it prudent to refrain from eating at Chinese restaurants. Around half (53.8% [95% CI: 52.1% - 55.6%] of US and 39.1% [95% CI: 37.4% - 40.9%] of UK participants) thought that children were at an especially high risk of death when infected with SARS-CoV-2. CONCLUSIONS: The distribution of participants by total household income and education followed approximately that of the general population. The findings from this online survey could guide information campaigns by public health authorities, clinicians, and the media. More broadly, rapid online surveys could be an important tool in tracking the public's knowledge and misperceptions during rapidly moving infectious disease outbreaks.",0,"Using rapid online surveys to assess perceptions during infectious disease outbreaks: a cross-sectional survey on Covid-19 among the general public in the United States and United KingdomBACKGROUND: Given the extensive time needed to conduct a nationally representative household survey and the commonly low response rate in phone surveys, rapid online surveys may be a promising method to assess and track knowledge and perceptions among the general public during fast-moving infectious disease outbreaks. OBJECTIVE: To apply rapid online surveying to determine knowledge and perceptions of coronavirus disease 2019 (Covid-19) among the general public in the United States (US) and the United Kingdom (UK). METHODS: An online questionnaire was administered to 3,000 adults residing in the US and 3,000 adults residing in the UK who had registered with Prolific Academic to participate in online research. Strata by age (18 - 27, 28 - 37, 38 - 47, 48 - 57, or >=58 years), sex (male or female), and ethnicity (White, Black or African American, Asian or Asian Indian, Mixed, or ""Other""), and all permutations of these strata, were established. The number of participants who could enrol in each of these strata was calculated to reflect the distribution in the US and UK general population. Enrolment into the survey within the strata was on a first-come, first-served basis. Participants completed the questionnaire between February 23 and March 2 2020. RESULTS: 2,986 and 2,988 adults residing in the US and the UK, respectively, completed the questionnaire. 64.4% (1,924/2,986) of US and 51.5% (1,540/2,988) of UK participants had a tertiary education degree. 67.5% (2,015/2,986) of US participants had a total household income between $20,000 and $99,999, and 74.4% (2,223/2,988) of UK participants had a total household income between GBP15,000 and GBP74,999. US and UK participants' median estimate for the probability of a fatal disease course among those infected with SARS-CoV-2 was 5.0% (IQR: 2.0% - 15.0%) and 3.0% (IQR: 2.0% - 10.0%), respectively. Participants generally had good knowledge of the main mode of disease transmission and common symptoms of Covid-19. However, a substantial proportion of participants had misconceptions about how to prevent an infection and the recommended care-seeking behavior. For instance, 37.8% (95% CI: 36.1% - 39.6%) of US and 29.7% (95% CI: 28.1% - 31.4%) of UK participants thought that wearing a common surgical mask was 'highly effective' in protecting them from acquiring Covid-19. 25.6% (95% CI: 24.1% - 27.2%) of US and 29.6% (95% CI: 28.0% - 31.3%) of UK participants thought it prudent to refrain from eating at Chinese restaurants. Around half (53.8% [95% CI: 52.1% - 55.6%] of US and 39.1% [95% CI: 37.4% - 40.9%] of UK participants) thought that children were at an especially high risk of death when infected with SARS-CoV-2. CONCLUSIONS: The distribution of participants by total household income and education followed approximately that of the general population. The findings from this online survey could guide information campaigns by public health authorities, clinicians, and the media. More broadly, rapid online surveys could be an important tool in tracking the public's knowledge and misperceptions during rapidly moving infectious disease outbreaks.","{'judgement': 'True', 'index': 3}",1,"{'judgement': 'False', 'index': 3}",0,"{'judgement': 'True', 'index': 3}",1
4,1200,The Use of Therapeutic-Dose Anticoagulation and Its Effect on Mortality in Patients With COVID-19: A Systematic Review,"The incidence of venous thromboembolism (VTE) events in patients with COVID-19 treated with a standard thromboprophylaxis dose of anticoagulants remains high. We conducted a systematic review in order to explore the association between therapeutic-dose anticoagulation and its effect on mortality in patients with COVID-19. A systematic search was carried out using the electronic databases of PubMed, EuropePMC, and the Cochrane Central Database, using specific keywords. All articles that fulfilled the inclusion criteria were included in the qualitative analysis. There were 8 observational studies included in the final qualitative analysis. Quality assessment using the Newcastle-Ottawa Scale (NOS) showed a mean score of 7.5 +/- 1.06, indicating moderate to high quality of the studies. Three retrospective cohort studies reported a reduction in the mortality rate, while 6 other studies showed no mortality benefits among patients with COVID-19 treated with therapeutic-dose anticoagulation. There was a slight tendency toward a reduction in the mortality rate among mechanically-ventilated patients with COVID-19 receiving therapeutic-dose anticoagulation. Bleeding events and thrombotic complications among patients receiving therapeutic-dose anticoagulation were reported in 3 studies. Although it is too soon to draw any conclusions, this systematic review draws attention to current evidence regarding the association between therapeutic-dose anticoagulation and its effect on mortality in patients with COVID-19.",0,"The Use of Therapeutic-Dose Anticoagulation and Its Effect on Mortality in Patients With COVID-19: A Systematic ReviewThe incidence of venous thromboembolism (VTE) events in patients with COVID-19 treated with a standard thromboprophylaxis dose of anticoagulants remains high. We conducted a systematic review in order to explore the association between therapeutic-dose anticoagulation and its effect on mortality in patients with COVID-19. A systematic search was carried out using the electronic databases of PubMed, EuropePMC, and the Cochrane Central Database, using specific keywords. All articles that fulfilled the inclusion criteria were included in the qualitative analysis. There were 8 observational studies included in the final qualitative analysis. Quality assessment using the Newcastle-Ottawa Scale (NOS) showed a mean score of 7.5 +/- 1.06, indicating moderate to high quality of the studies. Three retrospective cohort studies reported a reduction in the mortality rate, while 6 other studies showed no mortality benefits among patients with COVID-19 treated with therapeutic-dose anticoagulation. There was a slight tendency toward a reduction in the mortality rate among mechanically-ventilated patients with COVID-19 receiving therapeutic-dose anticoagulation. Bleeding events and thrombotic complications among patients receiving therapeutic-dose anticoagulation were reported in 3 studies. Although it is too soon to draw any conclusions, this systematic review draws attention to current evidence regarding the association between therapeutic-dose anticoagulation and its effect on mortality in patients with COVID-19.","{'judgement': 'True', 'index': 4}",1,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'True', 'index': 4}",1
5,30133,COVID-19 in the intensive care unit. Analysis of the experience during the first month of pandemic,"This is an analysis of clinical characteristics, images findings, laboratory variables and respiratory mechanics in patients with coronavirus disease 2019 (COVID-19) during the first month of the pandemic outbreak in Buenos Aires. In this descriptive case study of a single-centre, we included all confirmed cases of COVID-19 hospitalized in intensive care unit (ICU). All cases were confirmed by reverse transcription polymerase chain reaction. A total of 7 patients with confirmed COVID-19 were referred to out ICU. The median age was 71 years (interquartile range 52-75), including 4 men and 3 women. Patients most common clinical manifestations were fever (7), cough (5), asthenia (4) and shortness of breath (3). Among the radiological findings, five of them showed interstitial opacities and one patient had bilateral pulmonary consolidation. Five required invasive mechanical ventilation and multiple prone sessions. None died during hospitalization, although three still remain in the ICU. According to imaging examination, 71.4% showed interstitial opacities and one patient bilateral consolidation. Five patients required invasive mechanical ventilation and multiple prone sessions. None of them died during hospitalization, although three still remain in the ICU.",0,"COVID-19 in the intensive care unit. Analysis of the experience during the first month of pandemicThis is an analysis of clinical characteristics, images findings, laboratory variables and respiratory mechanics in patients with coronavirus disease 2019 (COVID-19) during the first month of the pandemic outbreak in Buenos Aires. In this descriptive case study of a single-centre, we included all confirmed cases of COVID-19 hospitalized in intensive care unit (ICU). All cases were confirmed by reverse transcription polymerase chain reaction. A total of 7 patients with confirmed COVID-19 were referred to out ICU. The median age was 71 years (interquartile range 52-75), including 4 men and 3 women. Patients most common clinical manifestations were fever (7), cough (5), asthenia (4) and shortness of breath (3). Among the radiological findings, five of them showed interstitial opacities and one patient had bilateral pulmonary consolidation. Five required invasive mechanical ventilation and multiple prone sessions. None died during hospitalization, although three still remain in the ICU. According to imaging examination, 71.4% showed interstitial opacities and one patient bilateral consolidation. Five patients required invasive mechanical ventilation and multiple prone sessions. None of them died during hospitalization, although three still remain in the ICU.","{'judgement': 'False', 'index': 5}",0,"{'judgement': 'False', 'index': 5}",0,"{'judgement': 'False', 'index': 5}",0
6,66965,Pathophysiological aspects of frontotemporal dementia--emphasis on cytoskeleton proteins and autoimmunity.,The aim of this study was to investigate two putative pathophysiological aspects of the common neurodegenerative disorder frontotemporal dementia (FTD). To this end  cerebrospinal fluid (CSF) levels of tau (total tau) and the light subtype of the neurofilament proteins (NFL) were studied in patients with FTD (n=16) and in age-matched controls (n=16). In addition  serum was analysed for IgG and IgM antibodies to the most common gangliosides and sulfatide in FTD patients (n=13) and in age-matched controls (n=20). The CSF-NFL levels were increased in FTD (1606+/-1151 pg/ml  mean+/-S.D.; P<0.001) compared with controls (308+/-203 pg/ml)  whereas the CSF-tau levels were normal. In serum  autoantibody IgG-GA1 was significantly increased in FTD (P<0.05) compared with controls. No correlations were found between the effect parameters and demographic variables in any group. The results of this study suggest that cytoskeleton proteins other than tau are also involved in the pathophysiology of FTD and that autoimmunity may be part of the pathophysiological processes in FTD  as it is believed to be in Alzheimer's disease.,0,Pathophysiological aspects of frontotemporal dementia--emphasis on cytoskeleton proteins and autoimmunity.The aim of this study was to investigate two putative pathophysiological aspects of the common neurodegenerative disorder frontotemporal dementia (FTD). To this end  cerebrospinal fluid (CSF) levels of tau (total tau) and the light subtype of the neurofilament proteins (NFL) were studied in patients with FTD (n=16) and in age-matched controls (n=16). In addition  serum was analysed for IgG and IgM antibodies to the most common gangliosides and sulfatide in FTD patients (n=13) and in age-matched controls (n=20). The CSF-NFL levels were increased in FTD (1606+/-1151 pg/ml  mean+/-S.D.; P<0.001) compared with controls (308+/-203 pg/ml)  whereas the CSF-tau levels were normal. In serum  autoantibody IgG-GA1 was significantly increased in FTD (P<0.05) compared with controls. No correlations were found between the effect parameters and demographic variables in any group. The results of this study suggest that cytoskeleton proteins other than tau are also involved in the pathophysiology of FTD and that autoimmunity may be part of the pathophysiological processes in FTD  as it is believed to be in Alzheimer's disease.,"{'judgement': 'False', 'index': 6}",0,"{'judgement': 'False', 'index': 6}",0,"{'judgement': 'False', 'index': 6}",0
7,24526,The leukocyte expression of CD36 is low in patients with Alzheimer's disease and mild cognitive impairment.,CD36  a scavenger receptor of class B (SR-B)  helps mediate microglial and macrophage response to beta-amyloid fibrils (betaA)  and seems to play a key role in the proinflammatory events associated with Alzheimer disease (AD) in many tissues. Peripheral leukocytes express many molecules and multiple receptors which undergo the same regulatory mechanisms as those operative in the brain. Thus  these cells  easily obtainable through peripheral blood sampling  may be used as a tool to investigate changes occurring in inaccessible brain areas. Based on these premises  we investigated the leukocyte expression of CD36 in 70 AD patients and in 30 subjects with mild cognitive impairment (MCI). Results were compared to those of 20 young and 40 age-matched control subjects. Leukocyte expression of CD36 was significantly reduced versus controls in both AD and MCI patients  while in young and old controls there were no age-related changes. Although preliminary  these data indicate that the reduction of CD36 expression in leukocytes is a disease-related phenomenon  occurring since the early stages of AD (MCI). Irrespective of the mechanism(s) underlying such changes  assessment of leukocyte CD36 expression might represent an useful tool to support the diagnosis of AD and to screen MCI patients candidates to develop the disease.,0,The leukocyte expression of CD36 is low in patients with Alzheimer's disease and mild cognitive impairment.CD36  a scavenger receptor of class B (SR-B)  helps mediate microglial and macrophage response to beta-amyloid fibrils (betaA)  and seems to play a key role in the proinflammatory events associated with Alzheimer disease (AD) in many tissues. Peripheral leukocytes express many molecules and multiple receptors which undergo the same regulatory mechanisms as those operative in the brain. Thus  these cells  easily obtainable through peripheral blood sampling  may be used as a tool to investigate changes occurring in inaccessible brain areas. Based on these premises  we investigated the leukocyte expression of CD36 in 70 AD patients and in 30 subjects with mild cognitive impairment (MCI). Results were compared to those of 20 young and 40 age-matched control subjects. Leukocyte expression of CD36 was significantly reduced versus controls in both AD and MCI patients  while in young and old controls there were no age-related changes. Although preliminary  these data indicate that the reduction of CD36 expression in leukocytes is a disease-related phenomenon  occurring since the early stages of AD (MCI). Irrespective of the mechanism(s) underlying such changes  assessment of leukocyte CD36 expression might represent an useful tool to support the diagnosis of AD and to screen MCI patients candidates to develop the disease.,"{'judgement': 'False', 'index': 7}",0,"{'judgement': 'False', 'index': 7}",0,"{'judgement': 'False', 'index': 7}",0
8,9770,Hypocretin in cerebrospinal fluid is positively correlated with Tau and pTau.,It has been suggested that sleep-wake regulation as well as hypocretins play a role in the pathophysiology of Alzheimer's disease. We analyzed Aﾎｲ40  Aﾎｲ42  Tau protein  phosphorylated Tau (pTau) protein as well as hypocretin-1 concentrations in the CSF of a detection sample of 10 patients with Alzheimer's disease (AD) as well as 10 age- and gender-matched patients with major depression as a comparison group of different pathology. In order to replicate the findings  we used a confirmation sample of 17 AD patients and 8 patients with major depression. We found hypocretin-1 concentrations in CSF not to differ between patients with depression and AD. However  hypocretin-1 was significantly related to Tau (r=0.463  p<0.001) and pTau (r=0.630  p<0.0001). These effects were more pronounced in depressed patients when compared to AD patients. We conclude that hypocretin-1 may play a role in the metabolism of Tau proteins across different diagnostic entities including AD. It has to be determined whether there is a causal relationship between hypocretin-1 and Tau as well as pTau.,0,Hypocretin in cerebrospinal fluid is positively correlated with Tau and pTau.It has been suggested that sleep-wake regulation as well as hypocretins play a role in the pathophysiology of Alzheimer's disease. We analyzed Aﾎｲ40  Aﾎｲ42  Tau protein  phosphorylated Tau (pTau) protein as well as hypocretin-1 concentrations in the CSF of a detection sample of 10 patients with Alzheimer's disease (AD) as well as 10 age- and gender-matched patients with major depression as a comparison group of different pathology. In order to replicate the findings  we used a confirmation sample of 17 AD patients and 8 patients with major depression. We found hypocretin-1 concentrations in CSF not to differ between patients with depression and AD. However  hypocretin-1 was significantly related to Tau (r=0.463  p<0.001) and pTau (r=0.630  p<0.0001). These effects were more pronounced in depressed patients when compared to AD patients. We conclude that hypocretin-1 may play a role in the metabolism of Tau proteins across different diagnostic entities including AD. It has to be determined whether there is a causal relationship between hypocretin-1 and Tau as well as pTau.,"{'judgement': 'False', 'index': 8}",0,"{'judgement': 'False', 'index': 8}",0,"{'judgement': 'False', 'index': 8}",0
9,59803,Employing Alzheimer disease animal models for translational research: focus on dietary components.,BACKGROUND: Translational research needs valid animal models of disease to discover new pathogenetic aspects and treatments. In Alzheimer's disease (AD)  transgenic models are of great value for AD research and drug testing. OBJECTIVE: It was the aim of this study to analyze the power of dietary polyphenols against neurodegeneration by investigating the effects of oleuropein aglycone (OLE)  the main phenol in the extra virgin olive oil (EVOO)  a key component of the Mediterranean diet (MD)  in a mouse model of amyloid-ﾎｲ deposition. METHODS: TgCRND8 mice (3.5 months old)  expressing the mutant KM670/671NL+V717F h-ﾎｲAPP695 transgene  and wild-type (wt) mice were used to study in vivo the effects of an 8-week dietary supplementation with OLE (50 mg/kg of diet) [Grossi et al: PLoS One 2013;8:e71702]  following the European Communities Council Directive 86/609 (DL 116/92) and National Guidelines (permit number: 283/2012-B). RESULTS: OLE administration ameliorates memory dysfunction  raises a significant autophagic response in the cortex and promotes the proliferation of newborn cells in the subgranular zone of the dentate gyrus of the hippocampus. CONCLUSIONS: Our findings support the beneficial effects of EVOO and highlight the possibility that continuous intake of high doses of OLE  both as a nutraceutical or as a food integrator  may prevent/delay the appearance of AD and reduce the severity of its symptoms.,0,Employing Alzheimer disease animal models for translational research: focus on dietary components.BACKGROUND: Translational research needs valid animal models of disease to discover new pathogenetic aspects and treatments. In Alzheimer's disease (AD)  transgenic models are of great value for AD research and drug testing. OBJECTIVE: It was the aim of this study to analyze the power of dietary polyphenols against neurodegeneration by investigating the effects of oleuropein aglycone (OLE)  the main phenol in the extra virgin olive oil (EVOO)  a key component of the Mediterranean diet (MD)  in a mouse model of amyloid-ﾎｲ deposition. METHODS: TgCRND8 mice (3.5 months old)  expressing the mutant KM670/671NL+V717F h-ﾎｲAPP695 transgene  and wild-type (wt) mice were used to study in vivo the effects of an 8-week dietary supplementation with OLE (50 mg/kg of diet) [Grossi et al: PLoS One 2013;8:e71702]  following the European Communities Council Directive 86/609 (DL 116/92) and National Guidelines (permit number: 283/2012-B). RESULTS: OLE administration ameliorates memory dysfunction  raises a significant autophagic response in the cortex and promotes the proliferation of newborn cells in the subgranular zone of the dentate gyrus of the hippocampus. CONCLUSIONS: Our findings support the beneficial effects of EVOO and highlight the possibility that continuous intake of high doses of OLE  both as a nutraceutical or as a food integrator  may prevent/delay the appearance of AD and reduce the severity of its symptoms.,"{'judgement': 'False', 'index': 9}",0,"{'judgement': 'False', 'index': 9}",0,"{'judgement': 'False', 'index': 9}",0
