id,title,abstract,judgement,tiab,2023-10-11_08-51Azure_zeroshot_gpt-35-turbo-0613_temp0,shori_2023-10-11_08-51Azure_zeroshot_gpt-35-turbo-0613_temp0,2023-10-11_09-31Azure_zeroshot_gpt-35-turbo-0613_temp0.4,shori_2023-10-11_09-31Azure_zeroshot_gpt-35-turbo-0613_temp0.4,2023-10-11_10-05Azure_zeroshot_gpt-35-turbo-0613_temp0.8,shori_2023-10-11_10-05Azure_zeroshot_gpt-35-turbo-0613_temp0.8,2023-10-11_10-51Azure_zeroshot_gpt-35-turbo-0613_temp1.2,shori_2023-10-11_10-51Azure_zeroshot_gpt-35-turbo-0613_temp1.2,2023-10-11_14-16Azure_zeroshot_gpt-35-turbo-0613_temp1.6,shori_2023-10-11_14-16Azure_zeroshot_gpt-35-turbo-0613_temp1.6
260,Accumulation of Ga-67 citrate in a tuberculous splenic abscess. Report of a rare case,A case of 65-year-old man with tuberculous splenic abscess is presented. The Ga-67 citrate scan revealed three focal areas of increased uptake in the left upper quadrant of the abdomen. The combined Tc-99m SC/Ga-67 scans revealed that these Ga-67 avid lesions localized in the splenic photon-deficit areas found in the Tc-99m SC scan. This case demonstrated the usefulness of Ga-67 imaging in a survey of fever of unknown origin in unsuspected tuberculous splenic abscess.,0,Accumulation of Ga-67 citrate in a tuberculous splenic abscess. Report of a rare caseA case of 65-year-old man with tuberculous splenic abscess is presented. The Ga-67 citrate scan revealed three focal areas of increased uptake in the left upper quadrant of the abdomen. The combined Tc-99m SC/Ga-67 scans revealed that these Ga-67 avid lesions localized in the splenic photon-deficit areas found in the Tc-99m SC scan. This case demonstrated the usefulness of Ga-67 imaging in a survey of fever of unknown origin in unsuspected tuberculous splenic abscess.,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'False', 'index': 0}",0,"{'judgement': 'True', 'index': 0}",1,"{'judgement': 'True', 'index': 0}",1
17863,A young woman with Crohn's disease of the esophagus,,0,A young woman with Crohn's disease of the esophagus,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1,"{'judgement': 'True', 'probability': '0.8', 'index': 1}",1,"{'judgement': 'True', 'index': 1}",1
42631,Impact of the COVID-19 pandemic on psychosocial health and well-being in South-Asian (World Psychiatric Association zone 16) countries: A systematic and advocacy review from the Indian Psychiatric Society,"Background: Coronavirus disease 2019 (COVID-19) has emerged as a global health threat. The South-Asian (SA) countries have witnessed both the initial brunt of the outbreak as well as the ongoing rise of cases. Their unique challenges in relation to mental health during the pandemic are worth exploring. Material(s) and Method(s): A systematic review was conducted for all the original studies on the impact of COVID-19 and lockdown on psychological health/well-being in the SA countries of the World Psychiatric Association Zone 16. PubMed, Google Scholar, PSYCHINFO, EMBASE, and SCOPUS were searched till June 2020. Studies conducted in the age group of 18-60 years with a minimum sample size of 10, and statistically significant results were included. Result(s): Thirteen studies were included in the review. They showed increase prevalence in nonpsychotic depression, anxiety, somatic concerns, alcohol-related disorders, and insomnia in the general population. Psychological symptoms correlated more with physical complaints of fatigue and pain in older adults and were directly related to social media use, misinformation, xenophobia, and social distancing. Frontline workers reported guilt, stigma, anxiety, and poor sleep quality, which were related to the lack of availability of adequate personal protective equipment, increased workload, and discrimination. One study validated the Coronavirus anxiety scale in the Indian population while another explored gaming as a double-edged sword during the lockdown in adolescents. Another study from Bangladesh explored psychosexual health during lockdown. Most studies were cross-sectional online surveys, used screening tools and had limited accessibility. Conclusion(s): The ongoing COVID-19 crisis and its impact serve as an important period for adequate mental healthcare, promotion, research, and holistic biopsychosocial management of psychiatric disorders, especially in vulnerable groups. Mental healthcare and research strategies during the pandemic and preparedness for postpandemic aftermath are advocated subsequently. Copyright ﾃ・ﾂｩ 2020 Indian Journal of Psychiatry Published by Wolters Kluwer-Medknow.",0,"Impact of the COVID-19 pandemic on psychosocial health and well-being in South-Asian (World Psychiatric Association zone 16) countries: A systematic and advocacy review from the Indian Psychiatric SocietyBackground: Coronavirus disease 2019 (COVID-19) has emerged as a global health threat. The South-Asian (SA) countries have witnessed both the initial brunt of the outbreak as well as the ongoing rise of cases. Their unique challenges in relation to mental health during the pandemic are worth exploring. Material(s) and Method(s): A systematic review was conducted for all the original studies on the impact of COVID-19 and lockdown on psychological health/well-being in the SA countries of the World Psychiatric Association Zone 16. PubMed, Google Scholar, PSYCHINFO, EMBASE, and SCOPUS were searched till June 2020. Studies conducted in the age group of 18-60 years with a minimum sample size of 10, and statistically significant results were included. Result(s): Thirteen studies were included in the review. They showed increase prevalence in nonpsychotic depression, anxiety, somatic concerns, alcohol-related disorders, and insomnia in the general population. Psychological symptoms correlated more with physical complaints of fatigue and pain in older adults and were directly related to social media use, misinformation, xenophobia, and social distancing. Frontline workers reported guilt, stigma, anxiety, and poor sleep quality, which were related to the lack of availability of adequate personal protective equipment, increased workload, and discrimination. One study validated the Coronavirus anxiety scale in the Indian population while another explored gaming as a double-edged sword during the lockdown in adolescents. Another study from Bangladesh explored psychosexual health during lockdown. Most studies were cross-sectional online surveys, used screening tools and had limited accessibility. Conclusion(s): The ongoing COVID-19 crisis and its impact serve as an important period for adequate mental healthcare, promotion, research, and holistic biopsychosocial management of psychiatric disorders, especially in vulnerable groups. Mental healthcare and research strategies during the pandemic and preparedness for postpandemic aftermath are advocated subsequently. Copyright ﾃ・ﾂｩ 2020 Indian Journal of Psychiatry Published by Wolters Kluwer-Medknow.","{'judgement': 'False', 'index': 2}",0,"{'judgement': 'False', 'index': 2}",0,"{'judgement': 'False', 'index': 2}",0,"{'judgement': 'False', 'index': 2}",0,"{'judgement': 'False', 'index': 2}",0
56258,Catheter-based management for the congenital coronary arteriovenous fistula indicated by the stress 99mTc-MIBI SPECT,A 10-year-old boy  who had suffered Kawasaki disease 7 years ago  presented chest pain  pale face  and cold sweating in the stress (99m)technetium-methoxyisobutylisonitrile ((99m)Tc-MIBI) single-photon emission computed tomography (SPECT)  which showed reversible perfusion abnormality indicative of myocardial ischemia involving the right coronary artery. Angiography identified congenital coronary arteriovenous fistula (CAVF) from the right coronary artery to the main pulmonary artery  to which the patient's symptoms and signs of myocardial ischemia  by means of coronary steal phenomenon that entails reversible perfusion abnormality in the stress (99m)Tc-MIBI SPECT  could be ascribed. The penny shall finally be dropped without sudden cardiac event after coaxial transarterial coil occlusion on this boy with the congenital CAVF that is indicated significantly by the stress (99m)Tc-MIBI SPECT.,0,Catheter-based management for the congenital coronary arteriovenous fistula indicated by the stress 99mTc-MIBI SPECTA 10-year-old boy  who had suffered Kawasaki disease 7 years ago  presented chest pain  pale face  and cold sweating in the stress (99m)technetium-methoxyisobutylisonitrile ((99m)Tc-MIBI) single-photon emission computed tomography (SPECT)  which showed reversible perfusion abnormality indicative of myocardial ischemia involving the right coronary artery. Angiography identified congenital coronary arteriovenous fistula (CAVF) from the right coronary artery to the main pulmonary artery  to which the patient's symptoms and signs of myocardial ischemia  by means of coronary steal phenomenon that entails reversible perfusion abnormality in the stress (99m)Tc-MIBI SPECT  could be ascribed. The penny shall finally be dropped without sudden cardiac event after coaxial transarterial coil occlusion on this boy with the congenital CAVF that is indicated significantly by the stress (99m)Tc-MIBI SPECT.,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'True', 'index': 3}",1,"{'judgement': 'False', 'index': 3}",0
42034,"ReScan, a Multiplex Diagnostic Pipeline, Pans Human Sera for SARS-CoV-2 Antigens","Comprehensive understanding of the serological response to SARS-CoV-2 infection is important for both pathophysiologic insight and diagnostic development. Here, we generate a pan-human coronavirus programmable phage display assay to perform proteome-wide profiling of coronavirus antigens enriched by 98 COVID-19 patient sera. Next, we employ ReScan, a method to efficiently sequester phage expressing the most immunogenic peptides and print them onto paper-based microarrays using acoustic liquid handling, which isolates and identifies 9 candidate antigens, 8 of which are derived from the 2 proteins used for SARS-CoV-2 serologic assays: spike and nucleocapsid proteins. After deployment in a high-throughput assay amenable to clinical lab settings, these antigens show improved specificity over a whole protein panel. This proof-of-concept study demonstrates that ReScan will have broad applicability for other emerging infectious diseases or autoimmune diseases that lack a valid biomarker, enabling a seamless pipeline from antigen discovery to diagnostic using one recombinant protein source. Copyright ﾃ・ﾂｩ 2020 The Author(s).",0,"ReScan, a Multiplex Diagnostic Pipeline, Pans Human Sera for SARS-CoV-2 AntigensComprehensive understanding of the serological response to SARS-CoV-2 infection is important for both pathophysiologic insight and diagnostic development. Here, we generate a pan-human coronavirus programmable phage display assay to perform proteome-wide profiling of coronavirus antigens enriched by 98 COVID-19 patient sera. Next, we employ ReScan, a method to efficiently sequester phage expressing the most immunogenic peptides and print them onto paper-based microarrays using acoustic liquid handling, which isolates and identifies 9 candidate antigens, 8 of which are derived from the 2 proteins used for SARS-CoV-2 serologic assays: spike and nucleocapsid proteins. After deployment in a high-throughput assay amenable to clinical lab settings, these antigens show improved specificity over a whole protein panel. This proof-of-concept study demonstrates that ReScan will have broad applicability for other emerging infectious diseases or autoimmune diseases that lack a valid biomarker, enabling a seamless pipeline from antigen discovery to diagnostic using one recombinant protein source. Copyright ﾃ・ﾂｩ 2020 The Author(s).","{'judgement': 'False', 'index': 4}",0,"{'judgement': 'False', 'index': 4}",0,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'True', 'index': 4}",1,"{'judgement': 'False', 'index': 4}",0
2988,Acute ophthalmic artery occlusion in a COVID-19 patient on apixaban,"We report a case of ophthalmic artery occlusion (OAO) in a young patient with COVID-19 infection that was on therapeutic anticoagulation with apixaban for deep venous thrombosis (DVT). A 48-year-old man with obesity was hospitalized with a severe form of COVID-19 infection, complicated with acute respiratory failure, septic shock, dilated cardiomyopathy and fungemia. Despite treatment with prophylactic enoxaparin (initial D-Dimer 1.14 micro g/ml FEU (normal < 0.05 micro g/ml FEU), D-Dimer increased to above 20 micro g/ml FEU and patient continued to spike high fevers. This prompted further investigations and upper and lower extremities DVTs were confirmed and managed with enoxaparin 1 mg/kg twice daily. D-dimer level decreased to 4.98 micro g/ml FEU while on therapeutic anticoagulation. Three weeks later pending hospital discharge, the anticoagulation was switched to oral apixaban 10 mg twice daily. Patient developed acute severe right eye visual loss of no light perception and was diagnosed with incomplete OAO. D-Dimer was elevated at 2.13 micro g/ml FEU. Stroke etiological work-up found no embolic sources, resolution of the dilated cardiomyopathy and negative antiphospholipid antibodies. Treatment was changed to enoxaparin and no thrombotic events were encountered to date. Ocular vascular complications have not yet been reported in COVID-19. Controversy exists on the best management algorithm for the hypercoagulable state associated to COVID-19 Either direct oral anticoagulants or low-molecular-weight-heparin are considered appropriate at discharge for patients with venous thromboembolism. The optimum regimen for ischemic stroke prevention and the significance of D-Dimer for anticoagulation monitoring in COVID-19 remain unclear.Copyright ﾃ・ﾂｩ 2020 Elsevier Inc.",0,"Acute ophthalmic artery occlusion in a COVID-19 patient on apixabanWe report a case of ophthalmic artery occlusion (OAO) in a young patient with COVID-19 infection that was on therapeutic anticoagulation with apixaban for deep venous thrombosis (DVT). A 48-year-old man with obesity was hospitalized with a severe form of COVID-19 infection, complicated with acute respiratory failure, septic shock, dilated cardiomyopathy and fungemia. Despite treatment with prophylactic enoxaparin (initial D-Dimer 1.14 micro g/ml FEU (normal < 0.05 micro g/ml FEU), D-Dimer increased to above 20 micro g/ml FEU and patient continued to spike high fevers. This prompted further investigations and upper and lower extremities DVTs were confirmed and managed with enoxaparin 1 mg/kg twice daily. D-dimer level decreased to 4.98 micro g/ml FEU while on therapeutic anticoagulation. Three weeks later pending hospital discharge, the anticoagulation was switched to oral apixaban 10 mg twice daily. Patient developed acute severe right eye visual loss of no light perception and was diagnosed with incomplete OAO. D-Dimer was elevated at 2.13 micro g/ml FEU. Stroke etiological work-up found no embolic sources, resolution of the dilated cardiomyopathy and negative antiphospholipid antibodies. Treatment was changed to enoxaparin and no thrombotic events were encountered to date. Ocular vascular complications have not yet been reported in COVID-19. Controversy exists on the best management algorithm for the hypercoagulable state associated to COVID-19 Either direct oral anticoagulants or low-molecular-weight-heparin are considered appropriate at discharge for patients with venous thromboembolism. The optimum regimen for ischemic stroke prevention and the significance of D-Dimer for anticoagulation monitoring in COVID-19 remain unclear.Copyright ﾃ・ﾂｩ 2020 Elsevier Inc.","{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'False', 'index': 5}",0,"{'judgement': 'True', 'index': 5}",1,"{'judgement': 'True', 'index': 5}",1
39820,Metabolic changes of glioma following chemotherapy: An experimental study using four PET tracers,To shed light on the metabolic changes in glioma following therapy  uptake changes among 18F-fluoro-2'-deoxyuridine (18FUdR)  14C-thymidine (dThd)  14C-methionine (Met) and 3H-deoxyglucose (DG) in glioma model after chemotherapy were studied  as a means for interpreting clinical PET results  together with the changes in the bromodeoxyuridine (BUdR) labeling index. 1-(4-amino-2-methyl-5-pyrimidinyl)methyl-3-(-2 chloroethyl)-3- nitrosourea hydrochloride (ACNU) was administered intraperitoneally in the tumor-bearing rats and uptake of the tracers or BUdR labeling index in tumor tissue were measured. The metabolic response following chemotherapy was a sharp fall immediately for 14C-dThd and 18FUdR and a moderate fall for 14C-Met whereas there was a fall in 3H-DG from 1 week after chemotherapy. The changes of BUdR labeling index paralleled that in the uptake for dThd and FUdR. These result indicate that PET scans using a variety of tracers in conjunction could be used for clinical diagnosis and evaluation of therapy in glioma cases. 18FUdR is a promising tracer of nucleic acid metabolism to evaluate the proliferative potential of brain gliomas,0,Metabolic changes of glioma following chemotherapy: An experimental study using four PET tracersTo shed light on the metabolic changes in glioma following therapy  uptake changes among 18F-fluoro-2'-deoxyuridine (18FUdR)  14C-thymidine (dThd)  14C-methionine (Met) and 3H-deoxyglucose (DG) in glioma model after chemotherapy were studied  as a means for interpreting clinical PET results  together with the changes in the bromodeoxyuridine (BUdR) labeling index. 1-(4-amino-2-methyl-5-pyrimidinyl)methyl-3-(-2 chloroethyl)-3- nitrosourea hydrochloride (ACNU) was administered intraperitoneally in the tumor-bearing rats and uptake of the tracers or BUdR labeling index in tumor tissue were measured. The metabolic response following chemotherapy was a sharp fall immediately for 14C-dThd and 18FUdR and a moderate fall for 14C-Met whereas there was a fall in 3H-DG from 1 week after chemotherapy. The changes of BUdR labeling index paralleled that in the uptake for dThd and FUdR. These result indicate that PET scans using a variety of tracers in conjunction could be used for clinical diagnosis and evaluation of therapy in glioma cases. 18FUdR is a promising tracer of nucleic acid metabolism to evaluate the proliferative potential of brain gliomas,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'index': 6}",1,"{'judgement': 'True', 'probability': '0.9', 'index': 6}",1,"{'judgement': 'False', 'index': 6}",0,"{'judgement': 'True', 'index': 6}",1
65360,"Differences in hub and spoke vascular units practice during the novel Coronavirus-19 (COVID-19) outbreak in Lombardy, Italy","BACKGROUND: To highlight clinical practice among referral (Hub, HH) or satellite (Spoke, SH) hospitals Vascular Surgery Units (VSUs) in Lombardy, during the COVID-19 pandemic ""phase 1"" period (March 8 - May 3, 2020). METHODS: The Vascular Surgery Group of Regione Lombardia Register, a real-word, multicenter, retrospective register was interrogated. All patients admitted with vascular disease were included. Patients' data on demographics, COVID-19 positivity, comorbidities and outcomes were extrapolated. Two cohorts were obtained: patients admitted to HH or SH. Primary endpoint was 30- day mortality rate. Secondary outcomes were 30-day complications and amputation (in case of peripheral artery disease [PAD]) rates. Univariate and multivariate analysis were used to compare HH and SH groups and predictors of poor outcomes. RESULTS: During the study period, 659 vascular patients in 4 HH and 27 SH were analyzed. Among these, 321 (48.7%) were admitted to a HH. No difference in COVID-19 positive patients was described (21.7% in HH vs 15.9% in SH; p=.058). After 30 days from intervention, HH and SH experienced similar mortality and no-intervention-related complication rate (12.1% vs 10.0%; p=.427 and 10.3% vs 8.3%; p=.377, respectively). Conversely, in HH postoperative complications were higher (23.4% vs 16.9%, p=.038) and amputations in patients treated for PAD were lower (10.8% vs 26.8%; p<.001) than in SH. Multivariate analysis demonstrated in both cohorts COVID-19-related pneumonia as independent predictor of death and postoperative complications, while age for death. CONCLUSIONS: HH and SH ensured stackable results in patients with vascular disease during COVID-19 ""phase 1"". Despite this, poor outcomes were observed in both HH and SH cohorts, due to COVID-19 infection and its related pneumonia.",0,"Differences in hub and spoke vascular units practice during the novel Coronavirus-19 (COVID-19) outbreak in Lombardy, ItalyBACKGROUND: To highlight clinical practice among referral (Hub, HH) or satellite (Spoke, SH) hospitals Vascular Surgery Units (VSUs) in Lombardy, during the COVID-19 pandemic ""phase 1"" period (March 8 - May 3, 2020). METHODS: The Vascular Surgery Group of Regione Lombardia Register, a real-word, multicenter, retrospective register was interrogated. All patients admitted with vascular disease were included. Patients' data on demographics, COVID-19 positivity, comorbidities and outcomes were extrapolated. Two cohorts were obtained: patients admitted to HH or SH. Primary endpoint was 30- day mortality rate. Secondary outcomes were 30-day complications and amputation (in case of peripheral artery disease [PAD]) rates. Univariate and multivariate analysis were used to compare HH and SH groups and predictors of poor outcomes. RESULTS: During the study period, 659 vascular patients in 4 HH and 27 SH were analyzed. Among these, 321 (48.7%) were admitted to a HH. No difference in COVID-19 positive patients was described (21.7% in HH vs 15.9% in SH; p=.058). After 30 days from intervention, HH and SH experienced similar mortality and no-intervention-related complication rate (12.1% vs 10.0%; p=.427 and 10.3% vs 8.3%; p=.377, respectively). Conversely, in HH postoperative complications were higher (23.4% vs 16.9%, p=.038) and amputations in patients treated for PAD were lower (10.8% vs 26.8%; p<.001) than in SH. Multivariate analysis demonstrated in both cohorts COVID-19-related pneumonia as independent predictor of death and postoperative complications, while age for death. CONCLUSIONS: HH and SH ensured stackable results in patients with vascular disease during COVID-19 ""phase 1"". Despite this, poor outcomes were observed in both HH and SH cohorts, due to COVID-19 infection and its related pneumonia.","{'judgement': 'True', 'index': 7}",1,"{'judgement': 'False', 'index': 7}",0,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'True', 'index': 7}",1,"{'judgement': 'False', 'index': 7}",0
50604,Flattening the curve in oncologic surgery: Impact of Covid-19 on surgery at tertiary care cancer center,"INTRODUCTION: Covid-19 has ushered in drastic changes to the healthcare system in order to ""flatten the curve""; in particular, surgical operations that can consume vital, limited resources, not to mention the risk to staff, anesthesiologists, and surgeons. However, under unique circumstances with diligent preparation, vital oncologic operations can be performed safely. METHODS: Prospective comparison of surgical cases during the pandemic from December 2019 to May 2020 to the correlating time frame from December 2018 to May 2019. RESULTS: A significant decline in case volume was not appreciated until the United States declared a national state of emergency, allowing patients with cancer to continue to undergo curative tumor resection until then (428.3 +/- 51.5 vs 166.6 +/- 59.8 cases/week; P < .001). The decrease was consistent with the mean case volume during the holidays (213.8 +/- 76.8 vs 166.6 +/- 59.8 case/week; P = .648). Evaluation of surgical subspecialties demonstrated a significant decrease for all subspecialties with the greatest decline in sarcoma (P = .002) and endocrine (P = .001) surgeries, while vascular (P = .004) and thoracic (P = .011) surgeries had the least. CONCLUSIONS: The novel coronavirus has drastically reduced oncologic operations, but with proper evaluation of patients and allocation of resources, surgery can be performed safely without compromising the aim to flatten the curve and control the coronavirus pandemic. Copyright ﾃ・ﾂｩ 2020 Wiley Periodicals LLC.",0,"Flattening the curve in oncologic surgery: Impact of Covid-19 on surgery at tertiary care cancer centerINTRODUCTION: Covid-19 has ushered in drastic changes to the healthcare system in order to ""flatten the curve""; in particular, surgical operations that can consume vital, limited resources, not to mention the risk to staff, anesthesiologists, and surgeons. However, under unique circumstances with diligent preparation, vital oncologic operations can be performed safely. METHODS: Prospective comparison of surgical cases during the pandemic from December 2019 to May 2020 to the correlating time frame from December 2018 to May 2019. RESULTS: A significant decline in case volume was not appreciated until the United States declared a national state of emergency, allowing patients with cancer to continue to undergo curative tumor resection until then (428.3 +/- 51.5 vs 166.6 +/- 59.8 cases/week; P < .001). The decrease was consistent with the mean case volume during the holidays (213.8 +/- 76.8 vs 166.6 +/- 59.8 case/week; P = .648). Evaluation of surgical subspecialties demonstrated a significant decrease for all subspecialties with the greatest decline in sarcoma (P = .002) and endocrine (P = .001) surgeries, while vascular (P = .004) and thoracic (P = .011) surgeries had the least. CONCLUSIONS: The novel coronavirus has drastically reduced oncologic operations, but with proper evaluation of patients and allocation of resources, surgery can be performed safely without compromising the aim to flatten the curve and control the coronavirus pandemic. Copyright ﾃ・ﾂｩ 2020 Wiley Periodicals LLC.","{'judgement': 'False', 'index': 8}",0,"{'judgement': 'False', 'index': 8}",0,"{'judgement': 'False', 'index': 8}",0,"{'judgement': 'False', 'index': 8}",0,"{'judgement': 'False', 'index': 8}",0
32658,Diagnostic value of 99m Tc-MDP SPECT/spiral CT combined with three-phase bone scintigraphy in assessing suspected bone tumors in patients with no malignant history,,0,Diagnostic value of 99m Tc-MDP SPECT/spiral CT combined with three-phase bone scintigraphy in assessing suspected bone tumors in patients with no malignant history,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1,"{'judgement': 'True', 'probability': '0.87', 'index': 9}",1,"{'judgement': 'True', 'index': 9}",1
